order_id,client_id,trader_id,symbol,side,quantity,price,timestamp,order_type
ORD_001,CLIENT_001,TDR_101,AAPL,BUY,100,150.25,2024-09-08 09:29:45,MARKET
ORD_002,CLIENT_001,TDR_101,AAPL,SELL,100,150.30,2024-09-08 09:34:50,LIMIT
ORD_003,CLIENT_002,TDR_102,MSFT,BUY,200,300.50,2024-09-08 09:39:30,MARKET
ORD_004,CLIENT_003,TDR_103,AAPL,BUY,500,150.20,2024-09-08 09:44:15,LIMIT
ORD_005,CLIENT_003,TDR_103,AAPL,SELL,500,150.35,2024-09-08 09:49:20,MARKET
ORD_006,CLIENT_001,TDR_101,GOOGL,BUY,50,2500.00,2024-09-08 09:59:45,MARKET
ORD_007,CLIENT_004,TDR_104,TSLA,BUY,75,250.75,2024-09-08 10:04:30,LIMIT
ORD_008,CLIENT_002,TDR_102,MSFT,SELL,150,300.75,2024-09-08 10:09:15,MARKET
ORD_009,CLIENT_005,TDR_105,NVDA,BUY,300,450.25,2024-09-08 10:14:45,MARKET
ORD_010,CLIENT_001,TDR_101,AAPL,BUY,200,150.40,2024-09-08 10:19:30,LIMIT
